modId:ID,name,version,author,pzVersion,description,:LABEL
ssr-core,SSR: Core,2025_12_15,Oneline,42.13,This mod ensures compatibility between other modules of SSR modpack,Mod
AxesRecrafting,Axe's Recrafting [Build 42],,Shokin_Dev,,Recrafting broken axes,Mod
2256623447/firearmmodbeta,Firearms B42 Beta,42-5.5.0,Hyzo,42.14.0,"3D Models for attachments such as slings, recoil pads and bipods. <LINE>",Mod
firearmmodbeta,Firearms B42 Beta,42-5.6.0,Hyzo,42.16.0,"3D Models for attachments such as slings, recoil pads and bipods. <LINE>",Mod
2256623447/firearmmod,Firearms B42,42-5.5.0,Hyzo,42.14.0,"3D Models for attachments such as slings, recoil pads and bipods. <LINE>",Mod
firearmmod,Firearms B42,42-5.6.0,Hyzo,42.16.0,"3D Models for attachments such as slings, recoil pads and bipods. <LINE>",Mod
2256623447/firearmmodvanilla,Firearms B42 - Vanilla,42-1.0.1,Hyzo,42.14.0,<TEXT>Use this if you're ok with the guns that exist in regular Zomboid and how they handle. Because this only changes how they look. Now stop asking what this does.,Mod
firearmmodvanilla,Firearms B42 - Models Only,42-1.0.1,Hyzo,42.16.0,<TEXT>Use this if you're ok with the guns that exist in regular Zomboid and how they handle. Because this only changes how they look. Now stop asking what this does.,Mod
Tactical Weapons,Tactical Weapons,,,42.13.0,Add Tactical Weapons 42.13 compatible,Mod
SwapIt,SwapIt,,Chuckleberry Finn & Nurver,,Individual hotslots can be toggled via options menu.,Mod
91range,'91 RANGE ROVER Classic,,KI5,42.13.0,"This mod adds RANGE ROVER Classic, SUV from 1991",Mod
DynamicTraits,Dynamic Traits and Expanded Moodles,,PepperCat,42.0.0,- Some new funtionalities such as overdose. <LINE>,Mod
SpnHair,Spongie's Hair,29,Spongie,,Adds 80 new hairstyles. REQUIRES FLUFFY HAIR,Mod
42Grapeseed,Grapeseed [Redesigned for Build 42],,,42.0.0,"Grapeseed, nestled northwest of Rosewood, has evolved from humble beginnings into a vibrant, gentrified town centered around Highway 60, opening it up to all of Knox Country. It offers a blend of modern luxury and historical charm.",Mod
67commando,'67 M706 Cadillac Gage Commando V100,,KI5,42.13.0,This mod adds M706 Cadillac Gage Commando V100 APC,Mod
SkillRecoveryJournal,Skill Recovery Journal,,Chuckleberry Finn,42.16,WARNING: If you're attempting to add this to an on-going save make sure to enable it under 'Load' > 'More...' >,Mod
NoVanillaStoriesKI5+Filibuster,No Vanilla Vehicles - Stories (KI5+Filibuster),1.1,,42.0.0,"Replaces vanilla vehicle stories with modded vehicles. (KI5, Filibuster, + Others)",Mod
NoVanillaStoriesKI5,No Vanilla Vehicles - Stories (KI5),1.1,,42.0.0,Replaces vanilla vehicle stories with ONLY KI5 Vehicles.,Mod
P4HasBeenRead,Has Been Read,3.3.0,PePePePePeil,42.15.0,Easy help for searching unread books.,Mod
KillCount,Kill Count,1.35,Tchernobill,42.0.0,Adds the fire kills to Character Sheet weapon kill counter and a Kills tab to detail weapon kills.,Mod
CompatibleWeaponAccessories,Compatible Weapon Accessories,2.0,,42.0.0,兼容的武器配件,Mod
86oshkoshP19A,'86 Oshkosh P19A + Military Trailers,,KI5,42.13.0,This mod adds Oshkosh P19A Trucks and Military trailers,Mod
P4AddictedToWeight,Addicted To Weight,1.21.0,PePePePePeil,42.15.0,Display weight information on digital watch panel.,Mod
82oshkoshM911,'82 Oshkosh M911,,KI5,42.13.0,This mod adds Oshkosh M911 Semi-Trailer Truck and 5 Semi-Trailers,Mod
MattSimpleAddonsFriuts,Wild Fruits,1.0.1,Matusz27,42.13,Adds additional wild fruits that can be found in Kentucky,Mod
isoContainers,Containers!,,KI5,42.13.0,"This mod adds ISO Containers, that's it!",Mod
bikinitools,bikinitools v53.1 [B42],,bikinihorst,,"This is a collection of things I find useful and / or lacking while playing or to help with some annoying things, mostly while in Debug mode. It will be expanded with new things as I see fit and I wanted to share it with the community.",Mod
92amgeneralM998,'92 AM General M998 + M101A3 Trailer,,KI5,42.13.0,"This mod adds AM General M998, HMMWV from 1992 with M101A3 Cargo Trailer",Mod
92amgeneralM998extra,'92 AM General M998 + M101A3 Trailer Extra Textures,,KI5,42.0.0,This mod adds extra textures to AM General M998 and M101A3 Cargo Trailer,Mod
Improved_Blood_Ffects,Improved Blood Effects,,,,Makes blood realistic,Mod
SpnCloth,Spongie's Clothing,21,Spongie,,cool clothes,Mod
MoreDescriptionForTraits42,More Description for Traits [42.0],,,,"Adds more details to the description of most traits, explaining their effects intead of leaving the player guessing. Also displays the descriptions on the character's info screen, in game.",Mod
vacsdrinks,Vac's Drinks,,,,Adds a couple drinks to zomboid.,Mod
Military_Tool_Kit,Military Tool Kit,,Papa_Chad,,"This mod adds support for adding vehicles with tracks, armor, mounted machine guns, cannons and much more",Mod
U.S.M113_APC_by_Papa_Chad,U.S. M113 APC by Papa_Chad,,Papa_Chad,,"This mod adds M113 APC with animated tracks. To work, you need the mod ""Military Tool Kit""",Mod
CosplayShop,Cosplay商店(B42),,烟雨陌兮,,Cosplay服装可在合成表里购买（Cosplay clothing can be purchased in the making list）,Mod
NoLighterNeeded,I Don't Need A Lighter,42-1.0.0,Fingbel,42.0.0,So you're telling me I can't light up a cigarette on a wood stove ?,Mod
P4VideoMeister,Video Meister,1.8.1,PePePePePeil,42.15.0,Ask me about all of VHS!,Mod
VehicleSalvageOverhaulB42,Vehicle Salvage Overhaul [build 42],,"hehehemann, SP4RTAN",42.12.0,Vehicle Salvage Overhaul for Project Zomboid Build 42,Mod
VehicleRepairOverhaul,Vehicle Repair Overhaul [build 42],,"hehehemann, SP4RTAN",42.14,Vehicle Repair Overhaul for Project Zomboid Build 42,Mod
P4TidyUpMeister,Tidy Up Meister,1.37.0,PePePePePeil,42.15.0,Automatically returns to the original equipment when the operation is completed.,Mod
ECTO1,'59 Cadillac Miller-Meteor ECTO-1,,KI5,42.0.0,This mod enables spawns for '59 Cadillac Miller-Meteor ECTO-1 variant from Ghost Busters,Mod
59meteor,'59 Cadillac Miller-Meteor,,KI5,42.13.0,This mod adds Cadillac Miller-Meteor from 1959,Mod
YakiHRB42,Yaki's Hair Retexture - B42,,,,,Mod
ssr-quests-e2,SSR: Quest System (NPCs Extension 2),2025_12_15,Oneline,42.13,"Command pack for SSR: Quest System, that allows to create static (mannequin) NPCs and interact with them.",Mod
