:START_ID,:END_ID,:TYPE,count,mode,prop,chance
SwapIt,ChuckleberryFinnAlertSystem,REQUIRES,,,,
SwapIt,errorMagnifier,REQUIRES,,,,
91range,damnlib,REQUIRES,,,,
DynamicTraits,MoodleFramework,REQUIRES,,,,
67commando,damnlib,REQUIRES,,,,
SkillRecoveryJournal,ChuckleberryFinnAlertSystem,REQUIRES,,,,
SkillRecoveryJournal,errorMagnifier,REQUIRES,,,,
86oshkoshP19A,damnlib,REQUIRES,,,,
82oshkoshM911,damnlib,REQUIRES,,,,
isoContainers,damnlib,REQUIRES,,,,
92amgeneralM998,damnlib,REQUIRES,,,,
92amgeneralM998extra,92amgeneralM998,REQUIRES,,,,
VehicleSalvageOverhaulB42,VehicleRepairOverhaul,REQUIRES,,,,
ECTO1,59meteor,REQUIRES,,,,
59meteor,damnlib,REQUIRES,,,,
78amgeneralM35A2extra,78amgeneralM35A2,REQUIRES,,,,
78amgeneralM49A2C,78amgeneralM35A2,REQUIRES,,,,
78amgeneralM62,78amgeneralM35A2,REQUIRES,,,,
78amgeneralM35A2,damnlib,REQUIRES,,,,
78amgeneralM50A3,78amgeneralM35A2,REQUIRES,,,,
84merc,damnlib,REQUIRES,,,,
83amgeneralM923,damnlib,REQUIRES,,,,
83amgeneralM923extra,83amgeneralM923,REQUIRES,,,,
92nissanGTR,damnlib,REQUIRES,,,,
86fordE150pd,86fordE150,REQUIRES,,,,
86fordE150dnd,86fordE150,REQUIRES,,,,
86fordE150expanded,86fordE150,REQUIRES,,,,
86fordE150,damnlib,REQUIRES,,,,
86fordE150mm,86fordE150,REQUIRES,,,,
70dodge,damnlib,REQUIRES,,,,
82jeepJ10,damnlib,REQUIRES,,,,
82jeepJ10t,82jeepJ10,REQUIRES,,,,
88chevyS10,damnlib,REQUIRES,,,,
89fordBronco,damnlib,REQUIRES,,,,
errorMagnifier,ChuckleberryFinnAlertSystem,REQUIRES,,,,
97bushmaster,damnlib,REQUIRES,,,,
49powerWagon,damnlib,REQUIRES,,,,
70barracuda,damnlib,REQUIRES,,,,
EvolvingTraitsWorld,MoodleFramework,REQUIRES,,,,
EvolvingTraitsWorld,KillCount,REQUIRES,,,,
EvolvingTraitsWorld,UnifiedCarryWeightFramework,REQUIRES,,,,
CedarHill,UnofficialMappersCommunityTilePack,REQUIRES,,,,
CedarHill,PertsPartyTiles,REQUIRES,,,,
CedarHill,melos_tiles_for_miles_pack,REQUIRES,,,,
93townCar,damnlib,REQUIRES,,,,
89trooper,damnlib,REQUIRES,,,,
69mini_MrBean,69mini,REQUIRES,,,,
69mini,damnlib,REQUIRES,,,,
69mini_ItalianJob,69mini,REQUIRES,,,,
69mini_PitbullSpecial,69mini,REQUIRES,,,,
90pierceArrow,damnlib,REQUIRES,,,,
90fordF350ambulance,damnlib,REQUIRES,,,,
AnotherVehicleClaimSystemCraft,AnotherVehicleClaimSystem,REQUIRES,,,,
AnotherVehicleClaimSystemAddonContainersAccess,AnotherVehicleClaimSystem,REQUIRES,,,,
92fordCVPI,damnlib,REQUIRES,,,,
93fordElgin,damnlib,REQUIRES,,,,
99fordCVPI,damnlib,REQUIRES,,,,
69camaro,damnlib,REQUIRES,,,,
93mustangSSP,damnlib,REQUIRES,,,,
ZombiesHearYourMicrophone,ChuckleberryFinnAlertSystem,REQUIRES,,,,
ZombiesHearYourMicrophone,errorMagnifier,REQUIRES,,,,
63beetle,damnlib,REQUIRES,,,,
91geoMetro,damnlib,REQUIRES,,,,
67gt500,damnlib,REQUIRES,,,,
89dodgeCaravan,damnlib,REQUIRES,,,,
tikitown,tikitown_tiles,REQUIRES,,,,
tikitown,Erikas_Tiles,REQUIRES,,,,
TikitownPower,tikitown,REQUIRES,,,,
TikitownPower,tikitown_tiles,REQUIRES,,,,
63Type2Van,damnlib,REQUIRES,,,,
87toyotaMR2,damnlib,REQUIRES,,,,
93fordF350,damnlib,REQUIRES,,,,
93fordTaurus,damnlib,REQUIRES,,,,
87fordB700,damnlib,REQUIRES,,,,
90bmwE30,damnlib,REQUIRES,,,,
Taylorsville,Erikas_Tiles,REQUIRES,,,,
93chevySuburban,damnlib,REQUIRES,,,,
93chevySuburbanExpanded,93chevySuburban,REQUIRES,,,,
76chevyKseries,damnlib,REQUIRES,,,,
87chevySuburban,damnlib,REQUIRES,,,,
75grandPrix,damnlib,REQUIRES,,,,
87buickRegal,damnlib,REQUIRES,,,,
80manKat1,damnlib,REQUIRES,,,,
81deloreanDMC12,damnlib,REQUIRES,,,,
